"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","WESD","WESF"
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-01-01",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-01-02",,,"0.13","1.3","1.3","0.1","0.1"
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-01-04",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-01-05",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-01-06",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-01-07",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-01-08",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-01-09",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-01-11",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-01-12",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-01-13",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-01-14",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-01-15",,,"0.13","1.6",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-01-16",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-01-18",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-01-19",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-01-20",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-01-21",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-01-22",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-01-23",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-01-24",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-01-25",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-01-26",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-01-27",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-01-29",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-01-30",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-01-31",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-02-01",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-02-02",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-02-03",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-02-04",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-02-05",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-02-06",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-02-20",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-02-22",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-02-23",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-02-25",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-02-26",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-02-27",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-02-28",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-03-01",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-03-02",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-03-03",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-03-04",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-03-05",,,"0.34",,,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-03-06",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-03-07",,,"0.13","1.0","1.0",,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-03-08",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-03-09",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-03-10",,,"0.06","0.5",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-03-12",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-03-13",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-03-14",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-03-15",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-03-16",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-03-17",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-03-18",,,"1.33",,,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-03-19",,,"0.00","0.0",,,
"US1NELA0068","LINCOLN 6.1 SSE, NE US","2022-03-20",,,"0.00","0.0",,,
